25;80
115;0
123;149
0;80
131;144
31;68
128;96
17;184
50;163
156;64
28;185
157;200
97;31
26;165
76;148
11;161
140;132
125;89
187;181
19;9
118;100
144;127
11;133
115;178
190;12
35;79
76;184
91;186
148;145
96;122
5;105
51;43
193;69
106;7
65;55
156;81
94;121
78;57
89;129
123;98
35;4
54;103
186;145
143;65
162;178
176;83
16;75
109;122
172;56
86;95
138;14
168;30
12;48
113;100
0;121
189;130
189;140
114;7
168;161
88;114
144;148
172;165
104;88
66;88
103;55
153;183
108;189
67;193
176;19
1;41
62;41
92;73
83;85
63;147
143;183
147;20
157;137
181;67
73;189
2;169
125;188
104;159
166;117
145;182
148;6
195;72
126;151
124;40
121;193
157;46
183;170
5;160
1;26
172;94
138;38
93;195
29;91
196;187
55;136
130;83
